,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
83,2024-05-10,182.03019864969298,150.43856496299398,206.7196688124045,182.03019864969298,182.03019864969298,-4.7012569930455586,-4.7012569930455586,-4.7012569930455586,-4.7012569930455586,-4.7012569930455586,-4.7012569930455586,0.0,0.0,0.0,177.32894165664743
84,2024-05-13,183.38096102103032,153.44021864109843,207.11605354663845,183.38096102103032,183.38096102103032,-3.514233506870322,-3.514233506870322,-3.514233506870322,-3.514233506870322,-3.514233506870322,-3.514233506870322,0.0,0.0,0.0,179.86672751416
85,2024-05-14,183.83121514480945,152.2343968698272,208.43021967646865,183.83121514480945,183.83121514480945,-3.4301503464500502,-3.4301503464500502,-3.4301503464500502,-3.4301503464500502,-3.4301503464500502,-3.4301503464500502,0.0,0.0,0.0,180.40106479835939
86,2024-05-15,184.28146926858855,151.45805545232082,206.13334896800757,184.28146926858855,184.28146926858855,-4.496480751888756,-4.496480751888756,-4.496480751888756,-4.496480751888756,-4.496480751888756,-4.496480751888756,0.0,0.0,0.0,179.7849885166998
87,2024-05-16,184.73172339236768,153.34625055134111,209.5845489111166,184.73172339236768,184.73172339236768,-4.541889295791066,-4.541889295791066,-4.541889295791066,-4.541889295791066,-4.541889295791066,-4.541889295791066,0.0,0.0,0.0,180.18983409657662
88,2024-05-17,185.1819775161468,153.44034240279782,209.9718231758824,185.1819775161468,185.1819775161468,-4.7012569930459565,-4.7012569930459565,-4.7012569930459565,-4.7012569930459565,-4.7012569930459565,-4.7012569930459565,0.0,0.0,0.0,180.48072052310084
89,2024-05-20,186.53478316028722,155.21194633694805,210.17640061632812,186.53478316028722,186.53478316028722,-3.514233506868474,-3.514233506868474,-3.514233506868474,-3.514233506868474,-3.514233506868474,-3.514233506868474,0.0,0.0,0.0,183.02054965341875
90,2024-05-21,186.9857183750007,156.95612912650674,212.54842408693096,186.9857183750007,186.9857183750007,-3.4301503464531984,-3.4301503464531984,-3.4301503464531984,-3.4301503464531984,-3.4301503464531984,-3.4301503464531984,0.0,0.0,0.0,183.5555680285475
91,2024-05-22,187.43665358971415,156.2291093662511,212.0029200410974,187.43665358971415,187.43665358971415,-4.496480751886275,-4.496480751886275,-4.496480751886275,-4.496480751886275,-4.496480751886275,-4.496480751886275,0.0,0.0,0.0,182.94017283782787
92,2024-05-23,187.88758880442762,154.65713291799077,210.67937590708829,187.88758880442762,187.88758880442762,-4.541889295789588,-4.541889295789588,-4.541889295789588,-4.541889295789588,-4.541889295789588,-4.541889295789588,0.0,0.0,0.0,183.34569950863803
